nombre	marca	tienda	pais	alergenos	additivos	puntuacion_nova	image_url	image_small_url	calorias	energia	grasa	grasas_saturadas	colesterol	carbohidratos	azucares	fibra	proteinas	sal	sodio	calcio	hierro	puntuacion
Galletas maría doradas	Hacendado	Mercadona	España	en:gluten,en:milk,en:sulphur-dioxide-and-sulphites	en:e223,en:e306	4	https://images.openfoodfacts.org/images/products/848/000/014/1323/front_es.6.400.jpg	https://images.openfoodfacts.org/images/products/848/000/014/1323/front_es.6.200.jpg	461	1929	14	1.4		76	23	2.2	7	1	0.4			13
Digestive chocolate con leche	hacendado		España		en:e334,en:e500,en:e500ii,en:e503,en:e503ii	4	https://images.openfoodfacts.org/images/products/848/000/014/1316/front_es.17.400.jpg	https://images.openfoodfacts.org/images/products/848/000/014/1316/front_es.17.200.jpg	498	2084	20	13		63	26	3.6	6	1.4	0.56			24
Chocolate negro 85% cacao	Hacendado	Mercadona	España			4	https://images.openfoodfacts.org/images/products/848/000/012/4937/front_es.36.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/4937/front_es.36.200.jpg	576	2383	46	28		22	15	15	12	0	0			15
Hot dog	Hacendado	Mercadona	España	en:gluten	en:e202,en:e282,en:e471,en:e472e	4	https://images.openfoodfacts.org/images/products/848/000/082/3328/front_es.47.400.jpg	https://images.openfoodfacts.org/images/products/848/000/082/3328/front_es.47.200.jpg	270	1125	4	0.6		48	5.5	2.5	9	1.1	0.44			1
Burger 100% integral	Hacendado	Mercadona	España	en:gluten,en:sesame-seeds	en:e200,en:e202,en:e282,en:e412,en:e471,en:e481	4	https://images.openfoodfacts.org/images/products/848/000/082/7210/front_es.44.400.jpg	https://images.openfoodfacts.org/images/products/848/000/082/7210/front_es.44.200.jpg	259	1093	4.8	1.1		40	3.1	8	11	1.1	0.44			-2
Limón bote	Hacendado	Mercadona	España	en:sulphur-dioxide-and-sulphites	en:e220	1	https://images.openfoodfacts.org/images/products/848/000/004/9032/front_es.68.400.jpg	https://images.openfoodfacts.org/images/products/848/000/004/9032/front_es.68.200.jpg	125	125	0	0		7.1	1.5	0	0	0.01	0.004			-4
Aroma agua de azahar	Hacendado	Mercadona	España		en:e202,en:e490	4	https://images.openfoodfacts.org/images/products/848/000/019/8167/front_es.42.400.jpg	https://images.openfoodfacts.org/images/products/848/000/019/8167/front_es.42.200.jpg														
Pechuga pavo finas lonchas reducido de sal	Hacendado	Mercadona,Hacendado	España		en:e250,en:e407,en:e451,en:e451i	4	https://images.openfoodfacts.org/images/products/848/000/059/2521/front_en.76.400.jpg	https://images.openfoodfacts.org/images/products/848/000/059/2521/front_en.76.200.jpg														
Te verde hacendado	Hacendado	Mercadona	España		en:e142,en:e150d,en:e300,en:e330,en:e331,en:e955	4	https://images.openfoodfacts.org/images/products/848/000/027/8326/front_es.46.400.jpg	https://images.openfoodfacts.org/images/products/848/000/027/8326/front_es.46.200.jpg	23.6	100.5	0.1	0.1		5.7	5.7	0.1	0.1	0.03	0.012			8
Leche semidestanada sin lactosa	Hacendado		España			3	https://images.openfoodfacts.org/images/products/848/000/010/5011/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/010/5011/front_es.3.200.jpg			1.5			4.6	4.6		3	0.13	0.052			
Choco stik nata	Hacendado	Mercadona	España	en:milk	en:e412,en:e471	4	https://images.openfoodfacts.org/images/products/843/513/012/3848/front_es.31.400.jpg	https://images.openfoodfacts.org/images/products/843/513/012/3848/front_es.31.200.jpg	319	1335	22	16		29	26		2.3	0.13	0.052			18
Entrepinares	hacendado		España				https://images.openfoodfacts.org/images/products/235/091/700/2467/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/235/091/700/2467/front_es.3.200.jpg	372	1556	32	19		0.5	0.5		21	1.4	0.56			
Chocolate con leche	hacendado		España				https://images.openfoodfacts.org/images/products/848/000/013/5001/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/013/5001/front_es.3.200.jpg	527	2205	28	16		63	16		4.8	0.14	0.056			19
Salsa queso	Hacendado	Mercadona	España		en:e14xx,en:e160c,en:e171,en:e202,en:e251,en:e252,en:e270,en:e330,en:e331,en:e340,en:e407,en:e410,en:e452,en:e621	4	https://images.openfoodfacts.org/images/products/848/000/015/8390/front_es.4.400.jpg	https://images.openfoodfacts.org/images/products/848/000/015/8390/front_es.4.200.jpg	102.4	428.9	4.5	0.7		12.1	4.7		2.9	2.26	0.904			12
Puré de patatas	Hacendado	Mercadona	España	es:Metabisulfito sódico	en:e223,en:e471	4	https://images.openfoodfacts.org/images/products/401/244/839/6009/front_es.66.400.jpg	https://images.openfoodfacts.org/images/products/401/244/839/6009/front_es.66.200.jpg	354	1481	0.6	0.4		76	1.5		8.3	0.15	0.06			-6
Salmorejo fresco	Hacendado	Mercadona	España			3	https://images.openfoodfacts.org/images/products/848/000/039/9014/front_es.54.400.jpg	https://images.openfoodfacts.org/images/products/848/000/039/9014/front_es.54.200.jpg	134	561	10	1.4		9.5	2.1		1.5	0.95	0.38			5
Avena crunchy	Hacendado		España				https://images.openfoodfacts.org/images/products/848/000/015/6112/front_es.17.400.jpg	https://images.openfoodfacts.org/images/products/848/000/015/6112/front_es.17.200.jpg	390	1632	5.8	1		66	4.6		13	0.2	0.08			0
Chocolate classic	Hacendado	Mercadona	España	en:milk,en:soybeans		4	https://images.openfoodfacts.org/images/products/848/000/013/6534/front_es.10.400.jpg	https://images.openfoodfacts.org/images/products/848/000/013/6534/front_es.10.200.jpg	543	2264	33	20		52	51		7.9	0.21	0.084			26
Chocolate con leche suave	Hacendado	Mercadona	España	en:milk,en:nuts,es:Láctea	en:e476	4	https://images.openfoodfacts.org/images/products/848/000/012/4777/front_es.21.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/4777/front_es.21.200.jpg	539	2252	30	19		59	58	1.6	6.8	0.1	0.04			25
Choco Bolas	Hacendado		es				https://images.openfoodfacts.org/images/products/848/000/064/0185/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/064/0185/front_es.3.200.jpg	327	1368	15	11		43	29		4	0.2	0.08			
Chocolate con almendras enteras	Hacendado	Mercadona	España	en:milk,en:nuts		4	https://images.openfoodfacts.org/images/products/848/000/012/4791/front_es.23.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/4791/front_es.23.200.jpg	563	2349	39	15		42	40	3.6	11	0.2	0.08			22
Fresh gas lima limon	Hacendado		España		en:e330,en:e331,en:e950,en:e951	4	https://images.openfoodfacts.org/images/products/848/000/029/0502/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/029/0502/front_es.3.200.jpg														
Fresa morango	Hacendado		es				https://images.openfoodfacts.org/images/products/848/000/015/6594/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/015/6594/front_es.3.200.jpg	29	121	0.3	0.2		3.7	3.5		2.9	0.11	0.044			
Oregano	Hacendado	Mercadona	España			1	https://images.openfoodfacts.org/images/products/848/000/034/1808/front_es.32.400.jpg	https://images.openfoodfacts.org/images/products/848/000/034/1808/front_es.32.200.jpg														
Pan de molde integral	Hacendado		es		en:e200,en:e282,en:e412,en:e471,en:e481	4	https://images.openfoodfacts.org/images/products/848/000/083/8865/front_en.9.400.jpg	https://images.openfoodfacts.org/images/products/848/000/083/8865/front_en.9.200.jpg	253	1059	4	0.7		40	3.5		11	1.1	0.44			
Cuquis	Hacendado	Mercadona	España			3	https://images.openfoodfacts.org/images/products/848/000/033/5814/front_es.29.400.jpg	https://images.openfoodfacts.org/images/products/848/000/033/5814/front_es.29.200.jpg	473	1987	17	2		72	0.7	1.6	6.5	1.5	0.6			11
Salmorejo	Hacendado	Mercadona	España	en:gluten,es:Pan rallado		3	https://images.openfoodfacts.org/images/products/848/000/039/9021/front_es.35.400.jpg	https://images.openfoodfacts.org/images/products/848/000/039/9021/front_es.35.200.jpg	85	356	6.4	0.9		5.1	2.7	1.3	1.1	0.8	0.32			3
Choco fundir 0% azúcares añadidos 70% cacao	Hacendado	Mercadona	España	en:soybeans	en:e950,en:e965,en:e966	4	https://images.openfoodfacts.org/images/products/848/000/012/5309/front_es.16.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/5309/front_es.16.200.jpg	525	2167	42	26		35	0.1	9.7	8.7	0	0			11
Chocolate negro 0% azúcares añadidos 85% cacao	Hacendado	Mercadona	España		en:e960,en:e965	4	https://images.openfoodfacts.org/images/products/848/000/012/5248/front_es.24.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/5248/front_es.24.200.jpg	571	2357	49	30		22	1	13	11	0	0			12
Chocolate negro 72% trozos de naranja	Hacendado	Mercadona	España		en:e100,en:e300,en:e330,en:e422,en:e440	4	https://images.openfoodfacts.org/images/products/848/000/012/4982/front_es.19.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/4982/front_es.19.200.jpg	524	2181	34	21		44	37	10	5.9	0	0			19
Chocolate negro 72% con arándanos y sésamo	Hacendado	Mercadona	España	en:sesame-seeds		4	https://images.openfoodfacts.org/images/products/848/000/012/4975/front_es.21.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/4975/front_es.21.200.jpg	543	2255	38	22		40	34	10	6.9	0	0			18
Chocolate negro 72% de cacao con almendras enteras	Hacendado	Mercadona	España	en:nuts		4	https://images.openfoodfacts.org/images/products/848/000/012/4807/front_es.22.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/4807/front_es.22.200.jpg	590	2450	47	21		27	22	10	11	0	0			16
Choco Gotas Negro	Hacendado	Mercadona	España		en:e476	4	https://images.openfoodfacts.org/images/products/848/000/012/5446/front_es.21.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/5446/front_es.21.200.jpg	501	2094	25	15		59	55	7.6	6	0.02	0.008			21
Fusion sabor a menta	Hacendado	Mercadona	España		en:e171,en:e202,en:e327,en:e330,en:e333,en:e422,en:e440,en:e472c,en:e476	4	https://images.openfoodfacts.org/images/products/848/000/012/4890/front_es.12.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/4890/front_es.12.200.jpg	452	1892	21	13		59	57	4.8	4.3	0	0			20
Jamon de pavo	Hacendado		España				https://images.openfoodfacts.org/images/products/848/000/059/2187/front_es.40.400.jpg	https://images.openfoodfacts.org/images/products/848/000/059/2187/front_es.40.200.jpg	85	356	2.5	0.9		1.5	1.5		14	1.5	0.6			2
Queso	hacendado		España				https://images.openfoodfacts.org/images/products/235/091/700/2504/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/235/091/700/2504/front_es.3.200.jpg	372	1556	32	19		0.5	0.5		21	1.4	0.56			
Pipa tostada gigante con sal	Hacendado	Mercadona	España		en:e412	4	https://images.openfoodfacts.org/images/products/848/000/034/0795/front_es.36.400.jpg	https://images.openfoodfacts.org/images/products/848/000/034/0795/front_es.36.200.jpg	631	2612	52	5.8		5.7	4.3	8.1	30	13.7	5.48		0.0057	17
Pandoro Hacendado	Hacendado	Mercadona	España		en:e471	4	https://images.openfoodfacts.org/images/products/848/000/082/6985/front_es.24.400.jpg	https://images.openfoodfacts.org/images/products/848/000/082/6985/front_es.24.200.jpg	387	1622	17	11		51	25	1.9	7.2	0.52	0.208			20
Mayonesa	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/848/000/017/0095/front_es.13.400.jpg	https://images.openfoodfacts.org/images/products/848/000/017/0095/front_es.13.200.jpg	599	2506	65	7.4		2.6	2.5		0.7	1	0.4			18
Bocaditos bañados al cacao	Hacendado		España				https://images.openfoodfacts.org/images/products/848/000/082/0983/front_es.14.400.jpg	https://images.openfoodfacts.org/images/products/848/000/082/0983/front_es.14.200.jpg	477	1996	28	13		49	32		6.1	0.81	0.324			25
Kéfir Coco	hacendado		España				https://images.openfoodfacts.org/images/products/848/000/015/6648/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/015/6648/front_es.3.200.jpg										0.1	0.04			
Gazpacho suave	Hacendado		es				https://images.openfoodfacts.org/images/products/848/000/015/6358/front_es.15.400.jpg	https://images.openfoodfacts.org/images/products/848/000/015/6358/front_es.15.200.jpg	43	180	2.5	0.4		3.5	3.3		0.8	0.8	0.32			3
Arroz con pollo asado	Hacendado	Mercadona	España		en:e262,en:e262ii,en:e407,en:e450,en:e450i	4	https://images.openfoodfacts.org/images/products/848/000/061/3035/front_es.37.400.jpg	https://images.openfoodfacts.org/images/products/848/000/061/3035/front_es.37.200.jpg	105	439	0.6	0.1		20	1.9		4.6	0.9	0.36			2
Leche Desnatada UHT	Hacendado		España				https://images.openfoodfacts.org/images/products/841/012/874/0368/front_es.10.400.jpg	https://images.openfoodfacts.org/images/products/841/012/874/0368/front_es.10.200.jpg	35	146	0.3	0.2		5	5		3.1	0.13	0.052			
Leche enriquecida calcio y vitaminas entera	Hacendado		España	en:milk	en:e451	4	https://images.openfoodfacts.org/images/products/848/000/010/6148/front_es.20.400.jpg	https://images.openfoodfacts.org/images/products/848/000/010/6148/front_es.20.200.jpg	68	285	3.6	2.4		4.9	4.9		3.9	0.13	0.052			1
Chocolate 99% cacao	Hacendado	Mercadona	España			3	https://images.openfoodfacts.org/images/products/848/000/012/5866/front_es.31.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/5866/front_es.31.200.jpg	610	2517	54	34		8	1	16	15	0.19	0.076			12
Chocolate 55% cacao con avellanas enteras	Hacendado	Mercadona	España			4	https://images.openfoodfacts.org/images/products/848/000/012/5019/front_es.8.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/5019/front_es.8.200.jpg	582	2418	42	17		39	35		7.8	0.02	0.008			24
Chocolate mousse negro	Hacendado	Mercadona	España		en:e322	4	https://images.openfoodfacts.org/images/products/848/000/012/5538/front_es.15.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/5538/front_es.15.200.jpg	551	2293	35	16		49.5	47	5.8	6.5	0.04	0.016			21
Mini barritas chocolate negro con semillas y galleta	Hacendado	Mercadona	España	en:gluten,en:sesame-seeds,en:soybeans	en:e500,en:e500ii	4	https://images.openfoodfacts.org/images/products/848/000/012/4609/front_es.41.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/4609/front_es.41.200.jpg	560	2323	41	21		33	21		9	0.1	0.04			20
Chocolate 0% azúcares	Hacendado	Mercadona	España		en:e965	4	https://images.openfoodfacts.org/images/products/848/000/012/5231/front_es.10.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/5231/front_es.10.200.jpg	453	1871	31	19		46	1	15	6	0.1	0.04			10
Nuez natural	Hacendado	Mercadona	España	en:nuts		1	https://images.openfoodfacts.org/images/products/848/000/034/0245/front_es.54.400.jpg	https://images.openfoodfacts.org/images/products/848/000/034/0245/front_es.54.200.jpg	716	2951	69.6	6		2.2	1.7	6.2	17	0	0		2.4e-06	-2
Salteado de pollo	Hacendado		España		en:e14xx	4	https://images.openfoodfacts.org/images/products/848/000/013/4042/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/013/4042/front_es.3.200.jpg	101	423	3	0.3		9.1	3.2		8.6	0.91	0.364			0
Zumo de manzana	Hacendado	Mercadona	España		en:e330	1	https://images.openfoodfacts.org/images/products/848/000/039/4040/front_es.21.400.jpg	https://images.openfoodfacts.org/images/products/848/000/039/4040/front_es.21.200.jpg	44	184	0.1	0		11.3	10.5	0	0.1	0	0			4
Café Soluble	Hacendado		España				https://images.openfoodfacts.org/images/products/848/000/011/0497/front_es.43.400.jpg	https://images.openfoodfacts.org/images/products/848/000/011/0497/front_es.43.200.jpg	6	25	0.4	0.1		33	0		25	0.29	0.116			
Pepinillos pequeños	Hacendado	Mercadona	España	en:sulphur-dioxide-and-sulphites	en:e223,en:e621	4	https://images.openfoodfacts.org/images/products/848/000/033/1847/front_es.35.400.jpg	https://images.openfoodfacts.org/images/products/848/000/033/1847/front_es.35.200.jpg	19	80	0.5	0.2		2.3	0.6	0.6	1.3	0	0			-5
Chocolate negro almendras enteras	Hacendado	Mercadona	España	en:nuts		4	https://images.openfoodfacts.org/images/products/848/000/012/4814/front_es.16.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/4814/front_es.16.200.jpg	547	2271	38	16		37	35	9.3	9.5	0	0			18
Chocolate negro 72%	Hacendado	Mercadona	España			4	https://images.openfoodfacts.org/images/products/848/000/012/4944/front_es.24.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/4944/front_es.24.200.jpg	580	2402	44	27		33	29	11	7.4	0.01	0.004			18
Chocolate negro 72% con pepitas de cacao tostadas	Hacendado	Mercadona	España			4	https://images.openfoodfacts.org/images/products/848/000/012/4968/front_es.27.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/4968/front_es.27.200.jpg	571	2368	43	26		33	29	11	7.5	0	0			18
Queso gorgonzola	Hacendado		España				https://images.openfoodfacts.org/images/products/235/061/300/1726/front_es.14.400.jpg	https://images.openfoodfacts.org/images/products/235/061/300/1726/front_es.14.200.jpg	325	1360	27	19.4		1	0.1		19.4	1.8	0.72			
Chocolate negro	Hacendado	Mercadona	España			4	https://images.openfoodfacts.org/images/products/848/000/012/5828/front_es.22.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/5828/front_es.22.200.jpg	529	2204	33	20		48	45	8.5	5.8	0.1	0.04			20
Choco fundir negro	Hacendado	Mercadona	España			4	https://images.openfoodfacts.org/images/products/848/000/012/5316/front_es.34.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/5316/front_es.34.200.jpg	529	2204	33	20		48	45	8.5	5.8	0.1	0.04			20
Chocolate negro 85%	Hacendado	Mercadona	España			4	https://images.openfoodfacts.org/images/products/848/000/012/4951/front_es.14.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/4951/front_es.14.200.jpg	580	2402	44	27		33	29	11	7.4	0	0			18
12 cereales y semillas	Hacendado	Mercadona	España			4	https://images.openfoodfacts.org/images/products/848/000/012/4920/front_es.64.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/4920/front_es.64.200.jpg	576	2383	46	28		22	15	15	12	0.02	0.008			15
Cola zero azúcar	Hacendado	Mercadona	España	en:gluten	en:e200,en:e202,en:e282,en:e471,en:e472e	4	https://images.openfoodfacts.org/images/products/848/000/083/5475/front_es.33.400.jpg	https://images.openfoodfacts.org/images/products/848/000/083/5475/front_es.33.200.jpg	271	1134	5.2	0.7		43	4.6	5.9	10	1.1	0.44			-2
Lentejas	Hacendado	Mercadona	España		en:e150d,en:e331,en:e338,en:e950,en:e951,en:e952	4	https://images.openfoodfacts.org/images/products/848/000/029/0618/front_es.15.400.jpg	https://images.openfoodfacts.org/images/products/848/000/029/0618/front_es.15.200.jpg	0.5	2.3	0	0		0.1	0		0	0.02	0.008			1
Bebida de soja sin azúcares añadidos	Hacendado	Mercadona	España		en:e300,en:e385	3	https://images.openfoodfacts.org/images/products/848/000/026/0277/front_es.40.400.jpg	https://images.openfoodfacts.org/images/products/848/000/026/0277/front_es.40.200.jpg	89	374	0.4	0.1		10.7	0.5		8.2	0.8	0.32			-1
Mediterráneo fruta + leche	Hacendado	Mercadona	España	en:soybeans		3	https://images.openfoodfacts.org/images/products/848/000/029/3145/front_es.60.400.jpg	https://images.openfoodfacts.org/images/products/848/000/029/3145/front_es.60.200.jpg	31	129	1.7	0.3		0.6	0.6	0.4	3.1	0.1	0.04			-1
Codillo de cerdo	Hacendado		es				https://images.openfoodfacts.org/images/products/848/000/010/0931/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/010/0931/front_es.3.200.jpg	19	79	0	0		4.3	4.2		0.4	0	0			
Caramelos jengibre & própolis 0% azúcares	Hacendado		España				https://images.openfoodfacts.org/images/products/238/082/000/4456/front_es.14.400.jpg	https://images.openfoodfacts.org/images/products/238/082/000/4456/front_es.14.200.jpg	199	833	13	4.4		3	0.5		17	1.5	0.6			12
Aceitunas con hueso aliñadas estilo caseras	Hacendado	Mercadona	España		en:e330,en:e950,en:e953,en:e955	4	https://images.openfoodfacts.org/images/products/848/000/065/1433/front_es.15.400.jpg	https://images.openfoodfacts.org/images/products/848/000/065/1433/front_es.15.200.jpg	239	995	0.5	0.2		96			0	0	0			
Caramelos regaliz y mentol 0% azúcares	Hacendado	Mercadona	España		en:e270,en:e330,en:e621,en:e627	4			200	823	20.6	3.9		0.1	0.05		1.6	2.6	1.04			15
Escalopines de salmón	Hacendado	Mercadona	España		en:e153,en:e330,en:e950,en:isomaltose	4	https://images.openfoodfacts.org/images/products/848/000/065/1518/front_es.8.400.jpg	https://images.openfoodfacts.org/images/products/848/000/065/1518/front_es.8.200.jpg	236	984	0	0		97	0.3		0.1	0	0			2
Escalopines de salmon	Hacendado	Mercadona	es				https://images.openfoodfacts.org/images/products/238/090/800/8796/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/8796/front_es.3.200.jpg	0	0								0	0			
Alubia blanca	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/238/090/800/9359/front_es.8.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/9359/front_es.8.200.jpg														
Espárragos verdes	Hacendado	Mercadona	es				https://images.openfoodfacts.org/images/products/238/090/800/8109/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/8109/front_es.3.200.jpg														
Bífidus Cremoso Tropical	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/238/090/800/9007/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/9007/front_es.3.200.jpg	100	418	25	25		8	8		10	2	0.8			20
Patatas corte grueso tradicional	Hacendado		España				https://images.openfoodfacts.org/images/products/238/090/800/8000/front_es.5.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/8000/front_es.5.200.jpg														
Fideos orientales sabor pollo	Hacendado		España				https://images.openfoodfacts.org/images/products/238/090/800/8383/front_es.5.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/8383/front_es.5.200.jpg														
Fruits	Hacendado		España				https://images.openfoodfacts.org/images/products/238/090/800/8611/front_es.7.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/8611/front_es.7.200.jpg														
Polos Frutas	Hacendado		España				https://images.openfoodfacts.org/images/products/238/090/800/8147/front_es.4.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/8147/front_es.4.200.jpg														
Yogur natural azucarado	Hacendado		España				https://images.openfoodfacts.org/images/products/238/090/800/7959/front_es.8.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/7959/front_es.8.200.jpg														
Pipa calabaza natural	hacendado		España				https://images.openfoodfacts.org/images/products/238/090/800/9168/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/9168/front_es.3.200.jpg														
Gnocchi	Hacendado		España				https://images.openfoodfacts.org/images/products/238/090/800/8574/front_es.5.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/8574/front_es.5.200.jpg														
Gnocchi al pesto	hacendado		España				https://images.openfoodfacts.org/images/products/238/090/800/8864/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/8864/front_es.3.200.jpg														
Sandwich de nata sin azúcares	Hacendado		España				https://images.openfoodfacts.org/images/products/238/090/800/8536/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/8536/front_es.3.200.jpg														
Mantequilla de Irlanda sin sal	Hacendado		España				https://images.openfoodfacts.org/images/products/238/090/800/8086/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/8086/front_es.3.200.jpg														
Confitura de melocotón	Hacendado		España				https://images.openfoodfacts.org/images/products/238/090/800/8710/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/8710/front_es.3.200.jpg														
Mermelada extra de fresa light	Hacendado		España				https://images.openfoodfacts.org/images/products/238/090/800/9700/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/9700/front_es.3.200.jpg														
Huevos sorpresa	Hacendado		España				https://images.openfoodfacts.org/images/products/238/090/800/9908/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/9908/front_es.3.200.jpg														
Caramelos eucalipto y mentol 0% azúcares	Hacendado		España				https://images.openfoodfacts.org/images/products/238/090/800/8758/front_es.6.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/8758/front_es.6.200.jpg														
Miel de Montaña	Hacendado		España				https://images.openfoodfacts.org/images/products/238/090/800/9496/front_es.7.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/9496/front_es.7.200.jpg														
Yogur Bífidus Pera, dátil y canela	Hacendado		España				https://images.openfoodfacts.org/images/products/238/090/800/9885/front_es.5.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/9885/front_es.5.200.jpg														
Pan Tostado 100% Integral de Trigo	Hacendado		España				https://images.openfoodfacts.org/images/products/238/090/800/9533/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/9533/front_es.3.200.jpg														
Salmón so natural	Hacendado		España				https://images.openfoodfacts.org/images/products/238/090/800/8437/front_es.6.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/8437/front_es.6.200.jpg														
Pechuga de Pavo	Hacendado		España				https://images.openfoodfacts.org/images/products/238/090/800/8413/front_es.5.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/8413/front_es.5.200.jpg														
Queso ahumado viejo	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/238/090/800/9618/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/9618/front_es.3.200.jpg														
Queso viejo	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/238/147/900/9168/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/238/147/900/9168/front_es.3.200.jpg														
Queso viejo cremoso	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/238/090/800/9021/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/9021/front_es.3.200.jpg										0	0			
Queso flamengo	Hacendado	Mercadona	es				https://images.openfoodfacts.org/images/products/238/090/800/8963/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/8963/front_es.3.200.jpg	0	0								0	0			
Dados queso	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/238/090/800/8512/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/8512/front_es.3.200.jpg	0	0								0	0			
Gouda viejo	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/238/090/801/0119/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/238/090/801/0119/front_es.3.200.jpg														
Pizza Americana rellena de Cheddar	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/238/090/800/9748/front_es.6.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/9748/front_es.6.200.jpg														
Granizado	Hacendado		España				https://images.openfoodfacts.org/images/products/238/090/800/9427/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/238/090/800/9427/front_es.3.200.jpg														
Barritas muesli chocolate	Hacendado		España		en:e223,en:e385	3	https://images.openfoodfacts.org/images/products/848/000/026/1205/front_es.4.400.jpg	https://images.openfoodfacts.org/images/products/848/000/026/1205/front_es.4.200.jpg	83	347	0.4	0.1		10.7	0.8		5.8	0.8	0.32			1
Chickles XXL Mentol MIX	Hacendado		España			3	https://images.openfoodfacts.org/images/products/848/000/016/5107/front_es.13.400.jpg	https://images.openfoodfacts.org/images/products/848/000/016/5107/front_es.13.200.jpg	15	63	0.1	0		1.6	1		1.3	1	0.4			-1
Chickles sabor jengibre y limón	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/848/000/021/3198/front_es.27.400.jpg	https://images.openfoodfacts.org/images/products/848/000/021/3198/front_es.27.200.jpg	46	192	0.1	0		7.1	4.7	1	3.6	0.14	0.056			-2
